freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tile(real),N_tier,N_Stack,W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,chip_Architecture,2d NoC latency,3d NoC latency,2.5d NoC latency,network_latency,2d NoC energy,3d NoC energy,2.5d NoC energy,network_energy,rcc,TFLOPS,2D_3D_NoC_power,2_5D_power,2d_3d_router_area,peak_temperature,placement_method,percent_router
1.0,1.0,1024,64,36,49,3,1,32,1458,20667308.01273829,39145755609.2092,9294022930.775162,3405.9232565425364,M3D,4974491.125,38766.63511659808,0,5013257.760116598,173580180.46101102,10419936.683288516,0.0,184000117.14429954,4.122530498463261,0.42309631337970743,0.3036802614254797,0,22.16674058240001,374.06,5,1.0
1.0,1.0,1024,64,36,49,3,1,32,338,20667308.01273829,39145755609.2092,9294022930.775162,3205.195511786914,M3D,4974491.125,49524.71597633136,0,5024015.840976331,173580180.46101102,1304405.3989110186,0.0,174884585.85992205,4.113702796112593,0.4229191444499663,0.06123253081109186,0,3.0223406694400006,367.99,5,1.0
1.0,1.0,1024,81,36,49,3,1,32,8,20667308.01273829,39145755609.2092,11762747771.762316,3977.5113845940787,M3D,5102533.6875,512461.0,0,5614994.6875,225256564.20647085,456514.83569600823,0.0,225713079.04216686,3.680735096463667,0.4134094652178817,0.04503685040223415,0,0.8963022274560002,411.12,5,1.0
1.0,1.0,1024,100,36,49,3,1,32,1458,20667308.01273829,39145755609.2092,14521910829.336191,5321.822294735893,M3D,5279306.0,57577.798353909464,0,5336883.7983539095,286176276.42196375,24814923.832130075,0.0,310991200.2540938,3.872542253798527,0.4178308167749069,0.48518794666261933,0,34.48286240768001,400.62,5,1.0
1.0,1.0,1024,100,36,49,3,1,32,648,20667308.01273829,39145755609.2092,14521910829.336191,5095.131520562154,M3D,5279306.0,60175.0462962963,0,5339481.046296297,286176276.42196375,6185751.576934243,0.0,292362027.99889797,3.870658559051176,0.41778908881584703,0.15700313606252084,0,10.067532922880002,385.67,5,1.0
1.0,1.0,1024,100,36,49,3,1,32,338,20667308.01273829,39145755609.2092,14521910829.336191,5008.172168259229,M3D,5279306.0,64462.81065088757,0,5343768.810650888,286176276.42196375,2459673.9967395645,0.0,288635950.4187033,3.86755279748357,0.41772021888112937,0.0923636581084619,0,4.563148718080002,386.55,5,1.0
1.0,1.0,1024,100,36,49,3,1,32,242,20667308.01273829,39145755609.2092,14521910829.336191,4980.824152456584,M3D,5279306.0,68018.30578512397,0,5347324.305785124,286176276.42196375,1683786.968358391,0.0,287860063.39032215,3.8649812188086097,0.41766312784914716,0.07896208628638242,0,3.2896086016000003,390.03,5,1.0
1.0,1.0,1024,100,36,49,3,1,32,50,20667308.01273829,39145755609.2092,14521910829.336191,4923.94126973462,M3D,5279306.0,116088.6,0,5395394.6,286176276.42196375,634706.5770838262,0.0,286810982.9990476,3.8305461499958304,0.41689278604167085,0.059674609747125885,0,1.3540578918400004,412.67,5,1.0
1.0,1.0,1024,100,36,49,3,1,32,8,20667308.01273829,39145755609.2092,14521910829.336191,4910.52448116933,M3D,5279306.0,434178.75,0,5713484.75,286176276.42196375,467507.2396217545,0.0,286643783.6615855,3.617285932676777,0.41186604215119843,0.05528393945032364,0,1.0393459916800003,424.08,5,1.0
1.0,5.0,1024,36,1,36,3,5,32,32,20667308.01273829,39145755609.2092,726095541.4668095,265.7522817438645,M3D,5228193.0875,962521.4,0,6190714.487500001,2197920433.9675336,31988281.249845818,0.0,2229908715.2173796,3.338436630290211,0.4045477549176824,0.4536315552333575,0,1.7292742656000002,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,18,20667308.01273829,39145755609.2092,726095541.4668095,264.35480396414835,M3D,5228193.0875,1711084.6,0,6939277.6875,2197920433.9675336,31891831.279662386,0.0,2229812265.247196,2.9783082538932177,0.39357828678923573,0.43903608821397194,0,1.5678989598720006,NA,2,1.0
1.0,5.0,1024,36,1,36,3,5,32,722,20667308.01273829,39145755609.2092,726095541.4668095,330.2241432132622,M3D,5228193.0875,42739.54958448753,0,5270932.637084488,2197920433.9675336,36776430.928054705,0.0,2234696864.8955884,3.920996422403532,0.41889320292331533,1.2808754537207716,0,18.063273984000002,NA,2,1.0
